2025-09-06 20:42:31 | [31mERROR[0m | canarias_scraper.HaciendaCanariasScraper | _make_request:155 | Error inesperado en petición https://www.gobiernodecanarias.org/hacienda: 'ScrapingConfig' object has no attribute 'REQUEST_DELAY'
2025-09-06 20:42:31 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 3 falló, reintentando en 4s: 'ScrapingConfig' object has no attribute 'REQUEST_DELAY'
2025-09-06 20:42:35 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.org/hacienda
2025-09-06 20:42:35 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:115 | User-Agent rotado
2025-09-06 20:42:36 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:136 | Petición exitosa: https://www.gobiernodecanarias.org/hacienda - Status: 200
2025-09-06 20:42:36 | [31mERROR[0m | canarias_scraper.HaciendaCanariasScraper | _make_request:155 | Error inesperado en petición https://www.gobiernodecanarias.org/hacienda: 'ScrapingConfig' object has no attribute 'REQUEST_DELAY'
2025-09-06 20:42:36 | [31mERROR[0m | canarias_scraper.retry | wrapper:21 | ❌ Falló después de 3 intentos: 'ScrapingConfig' object has no attribute 'REQUEST_DELAY'
2025-09-06 20:42:36 | [31mERROR[0m | canarias_scraper.HaciendaCanariasScraper | scrape_documents:36 | Error scrapeando Hacienda Canarias: 'ScrapingConfig' object has no attribute 'REQUEST_DELAY'
2025-09-06 20:42:36 | [32mINFO[0m | canarias_scraper.HaciendaCanariasScraper | scrape_documents:38 | Hacienda Canarias: 0 documentos encontrados
2025-09-06 20:42:36 | [32mINFO[0m | canarias_scraper | _process_institution:131 | hacienda_canarias: 0 documentos procesados
2025-09-06 20:42:36 | [32mINFO[0m | canarias_scraper | _process_institution:101 | Procesando institución: gobcan
2025-09-06 20:42:36 | DEBUG | canarias_scraper.GobcanScraper | _setup_session:58 | Sesión HTTP configurada correctamente
2025-09-06 20:42:36 | DEBUG | canarias_scraper.GobcanScraper | _check_robots_txt:79 | No se pudo cargar robots.txt: 'utf-8' codec can't decode byte 0xf3 in position 84: invalid continuation byte
2025-09-06 20:42:36 | [32mINFO[0m | canarias_scraper.GobcanScraper | scrape_documents:19 | Procesando área: economia
2025-09-06 20:42:36 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgeconomia/
2025-09-06 20:42:36 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgeconomia/
